#
#
# US Geological Survey
# retrieved: 2024-08-07 14:13:43 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:13:43 EDT
#
# there are 128 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	15274550	L CAMPBELL C AT NATHAN DR NR ANCHORAGE AK	ST	61.15305760	-149.87386500	U	NAD83	 82			19020401	15.4
USGS	15274600	CAMPBELL C NR SPENARD AK	ST	61.13887880	-149.92554840	S	NAD83	9.2			19020401	67.7
USGS	15275100	CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK	ST	61.20471400	-149.89749690	F	NAD83	22.9			19020401	29.5
USGS	15276000	SHIP C NR ANCHORAGE AK	ST	61.22499648	-149.63721520	R	NAD83	484.1			19020401	89.6
USGS	15276200	SHIP C AT GLENN HWY NR ANCHORAGE AK	ST	61.23834008	-149.69803530	R	NAD83	 279.			19020401	103
USGS	15276320	SHIP C BL FISH HATCHERY NR ANCHORAGE AK	ST	61.24278460	-149.72414690	S	NAD83	 225			19020401	104
USGS	15278000	EKLUTNA LK NR PALMER AK	ST	61.41029170	-149.12443570	T	NAD83	 859.80			19020401	119
USGS	15280200	EKLUTNA R AT OLD GLENN HWY AT EKLUTNA AK	ST	61.44973908	-149.36943870	R	NAD83	 100.			19020401	172
USGS	15280999	PALMER (BODENBURG) C AT E DILLY AVE NR PALMER AK	ST	61.52338889	-149.04188890	1	NAD83	 40			19020402	
USGS	15281000	KNIK R NR PALMER AK	ST	61.50445678	-149.03277780	S	NAD83	33.6			19020402	1220
USGS	15281500	CAMP C NR SHEEP MT LODGE AK	ST	61.83837366	-147.41080330	T	NAD83	 2950			19020402	1
USGS	15283700	MOOSE C NR PALMER AK	ST	61.68438889	-149.05241670	1	NAD83	 403.0			19020402	48.4
USGS	15284000	MATANUSKA R AT PALMER AK	ST	61.60862507	-149.07306390	T	NAD83	185.2			19020402	2060
USGS	15285000	WASILLA C NR PALMER AK	ST	61.64307278	-149.19833050	R	NAD83	 475			19020401	18.9
USGS	15286000	COTTONWOOD C NR WASILLA AK	ST	61.57446170	-149.41194280	U	NAD83	 309			19020401	26.9
USGS	15290000	L SUSITNA R NR PALMER AK	ST	61.70973580	-149.23196350	F	NAD83	921.0			19020505	62
USGS	15291000	SUSITNA R NR DENALI AK	ST	63.10343837	-147.51809020	S	NAD83	 2440			19020501	917
USGS	15291500	SUSITNA R NR CANTWELL AK	ST	62.69815320	-147.54721680	U	NAD83	 1900			19020501	4110
USGS	15291700	SUSITNA R AB TSUSENA C NR CHULITNA AK	ST	62.82333330	-148.60472220	S	NAD83	 1500			19020501	5160
USGS	15292000	SUSITNA R AT GOLD CREEK AK	ST	62.76728990	-149.69337940	T	NAD83	 682.14			19020501	6130
USGS	15292400	CHULITNA R NR TALKEETNA AK	ST	62.55810837	-150.23616000	S	NAD83	 520			19020502	2520
USGS	15292700	TALKEETNA R NR TALKEETNA AK	ST	62.34643880	-150.01920100	T	NAD83	 400.00			19020503	2010
USGS	15292780	SUSITNA R AT SUNSHINE AK	ST	62.17484740	-150.17267190	5	NAD83	 270			19020505	11070
USGS	15292800	MONTANA C NR MONTANA AK	ST	62.10476190	-150.05974860	S	NAD83	 241.1			19020505	157
USGS	15293200	KASHWITNA R NR WILLOW AK	ST	61.92388889	-150.07138890	5	NAD83	 185.67			19020505	352
USGS	15293700	L WILLOW C NR KASHWITNA AK	ST	61.80974586	-150.09723790	S	NAD83	 130.4			19020505	153
USGS	15294005	WILLOW C NR WILLOW AK	ST	61.78028219	-149.88670470	T	NAD83	384.6			19020505	167
USGS	15294080	KROTO CREEK AT OILWELL ROAD NEAR TRAPPER CREEK AK	ST	62.13283330	-150.53866670	1	NAD83	 350			19020505	91.5
USGS	15294100	DESHKA R NR WILLOW AK	ST	61.76752120	-150.33918320	T	NAD83	 80			19020505	597
USGS	15294345	YENTNA R NR SUSITNA STATION AK	ST	61.69807470	-150.65278850	U	NAD83	 80			19020504	6110
USGS	15294350	SUSITNA R AT SUSITNA STATION AK	ST	61.54417960	-150.51473290	S	NAD83	 40			19020505	19360
USGS	15294500	CHAKACHATNA R NR TYONEK AK	ST	61.21162710	-152.35936880	U	NAD83	 1125.1			19020601	1080
USGS	15294640	LAKE FORK CRESCENT R NR TUXEDNI BAY AK	ST	60.35805560	-152.81861100	S	NAD83	 550			19020602	125
USGS	15294700	JOHNSON R AB LATERAL GLACIER NR TUXEDNI BAY AK	ST	60.09411299	-152.91277700	T	NAD83	 450			19020602	24.8
USGS	15294900	PAINT R NR KAMISHAK AK	ST	59.15459160	-154.26128320	U	NAD83	 60			19020602	200
USGS	15298040	CHULITNA R 5MI AB MOUTH NR PORT ALSWORTH AK	ST	60.20365910	-154.70443490	1	NAD83	 250			19030205	1110
USGS	15300200	ROADHOUSE C NR ILIAMNA AK	ST	59.75653898	-154.84912120	S	NAD83	 62			19030206	19.2
USGS	15300250	UPPER TALARIK C NR ILIAMNA AK	ST	59.78597610	-155.25524060	S	NAD83	 425			19030206	85.7
USGS	15300300	ILIAMNA R NR PEDRO BAY AK	ST	59.75794990	-153.84688660	S	NAD83	 80			19030206	129
USGS	15300500	KVICHAK R AT IGIUGIG AK	ST	59.32817987	-155.90132950	U	NAD83	 45			19030206	6400
USGS	15300520	KASKANAK C NR IGIUGIG AK	ST	59.33762200	-156.07744300	S	NAD83	 50			19030206	335
USGS	15302070	NAPOTOLI C 4 MI AB NUSHAGAK R NR DILLINGHAM AK	ST	59.75488889	-157.44780560	S	NAD83	 200			19030301	
USGS	15302200	KOKTULI R NR ILIAMNA AK	ST	59.79263760	-155.52468950	S	NAD83	 775			19030302	69.1
USGS	15302250	NF KOKTULI R NR ILIAMNA AK	ST	59.84246820	-155.71855640	1	NAD83	 613			19030302	106
USGS	15302300	MULCHATNA R AB STUYAHOK R NR NEW STUYAHOK AK	ST	59.83762270	-156.69386930	S	NAD83	 250			19030302	3640
USGS	15302320	STUYAHOK R NR NEW STUYAHOK AK	ST	59.80901149	-156.66692290	S	NAD83	 295			19030302	271
USGS	15302500	NUSHAGAK R AT EKWOK AK	ST	59.34843910	-157.47524260	U	NAD83	 90			19030303	9840
USGS	15303600	KUSKOKWIM R AT MCGRATH AK	ST	62.95215170	-155.58873470	U	NAD83	 300			19030405	11560
USGS	15303700	TATALINA R NR TAKOTNA AK	ST	62.88436970	-155.94180300	T	NAD83	 450.			19030403	75.8
USGS	15303900	KUSKOKWIM R AT LISKYS CROSSING NR STONY RIVER AK	ST	62.05129210	-156.21295560	S	NAD83	220.4			19030405	15622
USGS	15310002	MOSQUITO FORK 2 MI BL KECHUMSTUK C NR CHICKEN AK	ST	64.03444440	-142.52833330	S	NAD83	 2050			19040104	846.0
USGS	15320100	WADE C TRIB NR CHICKEN AK	ST	64.11797280	-141.55584480	S	NAD83	2016.3			19070502	4.2
USGS	15476000	TANANA R NR TANACROSS AK	ST	63.38797160	-143.74863400	U	NAD83	 1489.58			19080302	8420
USGS	15478000	TANANA R AT BIG DELTA AK	ST	64.15515740	-145.85233880	T	NAD83	 962.95			19080304	13470
USGS	15478038	GULKANA GLACIER 16 MI N OF PAXSON AK	ST	63.25903510	-145.40751200	S	NAD83	 4854.4			19080304	
USGS	15478040	PHELAN C NR PAXSON AK	ST	63.24027778	-145.46805560	1	NAD83	3697.8			19080304	12.1
USGS	15515048	MARGUERITE C 3.6 MI AB EMMA C NR HEALY AK	ST	63.97388889	-148.76111100	S	NAD83	2091.4			19080307	10.1
USGS	15515060	MARGUERITE C AB EMMA C NR HEALY AK	ST	64.00841080	-148.72824520	S	NAD83	1906.7			19080307	15.6
USGS	15515080	EMMA C NR HEALY AK	ST	64.01121149	-148.72761200	S	NAD83	 1850			19080307	5.9
USGS	15516000	NENANA R NR WINDY AK	ST	63.45731900	-148.80533970	U	NAD83	 2100			19080308	707
USGS	15518020	HEALY C AT SUNTRANA AK	ST	63.85232160	-148.84287220	S	NAD83	 1500			19080308	109
USGS	15518040	NENANA R AT HEALY AK	ST	63.85370837	-148.95787190	R	NAD83	 1350			19080308	2100
USGS	15518080	LIGNITE C AB MOUTH NR HEALY AK	ST	63.90426299	-148.98593250	T	NAD83	 1300			19080308	48.1
USGS	602850149431500	QUARTZ C AT QUARTZ C RD NR COOPER LANDING AK	ST	60.48055560	-149.72083330	S	NAD83	 450			19020302	
