ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
02342850,3433426,SERFC,-84.9064178466797,32.1529121398926,0,0,regular,3
02326900,10323850,SERFC,-84.1500091552734,30.2673625946045,0,0,slow,1
02453000,18591938,SERFC,-87.2495651245117,33.906120300293,0,0,regular,3
02469800,21640642,SERFC,-88.019287109375,31.7470531463623,0,0,regular,3
02331000,2041579,SERFC,-83.6339721679688,34.5744361877441,0,0,regular,3
02350600,6458195,SERFC,-84.5482482910156,32.0526542663574,0,0,regular,3
02380500,6479383,SERFC,-84.5068435668945,34.6755638122559,0,0,regular,3
02365769,2241851,SERFC,-85.934310913086,30.6198959350586,0,0,regular,3
02366000,2241831,SERFC,-85.7189712524414,30.6263637542725,0,0,regular,3
02481000,18070104,LMRFC,-89.1162109375,30.5571403503418,0,0,regular,3
02370500,792126,SERFC,-86.968017578125,30.6969814300537,0,0,regular,3
02373000,2402121,SERFC,-86.7758712768555,31.4598503112793,0,0,regular,3
02408540,22274612,SERFC,-86.27197265625,32.9164924621582,0,0,regular,3
02427250,21457950,SERFC,-87.0717468261719,31.995325088501,0,0,regular,3
02438000,18670534,SERFC,-87.9916839599609,34.1068840026855,0,0,regular,3
02422500,21676818,SERFC,-86.9033737182617,32.5829925537109,0,0,regular,3
02374950,445834,SERFC,-87.3696670532227,31.1344089508057,0,0,regular,3
02384500,12193538,SERFC,-84.8560791015625,34.8227500915527,0,0,regular,3
02372250,2323396,SERFC,-86.4052124023438,31.5941982269287,0,0,regular,3
02374745,2413254,SERFC,-87.0849380493164,31.1330699920654,0,0,regular,3
02343225,3440880,SERFC,-84.9739227294922,31.818380355835,0,0,regular,3
02467500,18531726,SERFC,-88.1902008056641,32.5679321289062,0,0,regular,3
02472500,18157053,LMRFC,-89.4104614257812,31.4257965087891,0,0,regular,3
02361000,2188031,SERFC,-85.6088638305664,31.3438129425049,0,0,regular,3
02481510,18075806,LMRFC,-89.2718124389648,30.4783687591553,0,0,regular,3
02363000,2210130,SERFC,-85.7846603393555,31.5935192108154,0,0,regular,3
02479560,18094981,LMRFC,-88.463623046875,30.8076858520508,0,0,regular,3
