#
#
# US Geological Survey
# retrieved: 2024-08-07 14:11:58 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:11:58 EDT
#
# there are 195 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	16229000	Kalihi Str nr Honolulu, Oahu, HI	ST	21.36336110	-157.84444440	S	NAD83	 464.4			20060000	2.56
USGS	16229300	Kalihi Str at Kalihi, Oahu, HI	ST	21.33823889	-157.87391940	S	NAD83	 70.00			20060000	5.21
USGS	16232000	Nuuanu Str bl Res 2 Wasteway nr Honolulu, Oahu, HI	ST	21.34608333	-157.82491670	S	NAD83	 630.71			20060000	3.35
USGS	16237600	Kanaha Str at Tantalus Drive nr Honolulu, Oahu, HI	ST	21.31861110	-157.83350000	1	NAD83	 435			20060000	0.19
USGS	16238000	Makiki Stream at King St. bridge, Oahu, HI	ST	21.29663889	-157.83675000	S	NAD83	 10			20060000	2.47
USGS	16238500	Waihi Stream at Honolulu, Oahu, HI	ST	21.32836110	-157.80086100	S	NAD83	290.77			20060000	1.12
USGS	16240500	Waiakeakua Str at Honolulu, Oahu, HI	ST	21.32822222	-157.79961100	S	NAD83	 294.50			20060000	1.05
USGS	16241600	Manoa Stream at Woodlawn Drive, Oahu, HI	ST	21.30844444	-157.80950000	1	NAD83	 130			20060000	4.28
USGS	16242500	Manoa Str at Kanewai Field, Honolulu, Oahu, HI	ST	21.29322222	-157.81272220	S	NAD83	 38.0			20060000	5.76
USGS	16244000	Pukele Stream near Honolulu, Oahu, HI	ST	21.30666667	-157.78833330	S	NAD83	 344.78			20060000	1.15
USGS	16246000	Waiomao Stream near Honolulu, Oahu, HI	ST	21.30611110	-157.78388890	S	NAD83	 400			20060000	1.05
USGS	16247100	Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI	ST-CA	21.28652778	-157.81855560	S	NAD83	 5			20060000	10.2
USGS	16247150	Makiki Stream at Archie Baker Park, Oahu, HI	ST	21.30872222	-157.83041670	S	NAD83	 140			20060000	1.09
USGS	16247550	Wailupe Gulch at E. Hind Dr. Bridge, Oahu, HI	ST	21.28533333	-157.75405560	S	NAD83	 50			20060000	2.84
USGS	16247900	Kuliouou Valley at Kuliouou, Oahu, HI	ST	21.29336110	-157.72327780	S	NAD83	 0			20060000	1.27
USGS	16249000	Waimanalo Str at Waimanalo, Oahu, HI	ST	21.34997222	-157.72891670	S	NAD83	 20			20060000	2.13
USGS	16249500	Maunawili Ditch at Ainoni Spring nr Kailua, Oahu,	ST-DCH	21.34767778	-157.76475280	S	NAD83	 440			20060000	
USGS	16249900	Maunawili Dit abv Anianinui Tun nr Kailua, Oahu,HI	ST-DCH	21.34406667	-157.75447500	S	NAD83	 400			20060000	1.64
USGS	16250000	Maunawili Ditch nr Waimanalo, Oahu, HI	ST-DCH	21.34267778	-157.75031100	S	NAD83	 390			20060000	
USGS	16254000	Makawao Str nr Kailua, Oahu, HI	ST	21.35950000	-157.76216670	S	NAD83	 100			20060000	2.03
USGS	16260500	MAUNAWILI STREAM AT HWY 61 NR KAILUA, OAHU, HI	ST	21.37767778	-157.76058600	U	NAD83	 9.79			20060000	5.44
USGS	16264600	Kawainui Marsh nr levee sta 15+00, Oahu, HI	ST	21.39416667	-157.74936100	S	NAD83	 9.34			20060000	11.0
USGS	16264690	Kawainui Stream near Kailua, Oahu, HI	ST	21.39286110	-157.77419440	5	NAD83	 163			20060000	.46
USGS	16265000	Kawa Str at Kaneohe, Oahu, HI	ST	21.40575000	-157.79050000	5	NAD83	 50			20060000	1.13
USGS	16265600	RB of Kamooalii Str nr Kaneohe, Oahu, HI	ST	21.38628889	-157.79280830	S	NAD83	 195.16			20060000	1.09
USGS	16270900	Luluku Str at alt 220 ft nr Kaneohe, Oahu, HI	ST	21.39177778	-157.80947780	1	NAD83	 220			20060000	0.49
USGS	16272200	Kamooalii Str blw Luluku Str nr Kaneohe, Oahu, HI	ST	21.39338889	-157.80375000	S	NAD83	 116.39			20060000	3.82
USGS	16273950	SF Kapunahala Str at Kaneohe, Oahu, HI	ST	21.40267778	-157.80586390	S	NAD83	 111.26			20060000	0.42
