#
#
# US Geological Survey
# retrieved: 2024-08-07 14:14:59 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:14:59 EDT
#
# there are 180 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	50045010	RIO DE LA PLATA BLW LA PLATA DAMSITE, PR	ST	18.34401200	-66.23842638	5	NAD83	 80.0			21010005	181
USGS	50046000	RIO DE LA PLATA AT HWY 2 NR TOA ALTA, PR	ST	18.40959249	-66.26057109	S	NAD83	 9.15			21010005	208
USGS	50047535	RIO DE BAYAMON AT ARENAS, PR	ST	18.16718065	-66.12155510	S	NAD83	 1378			21010005	0.42
USGS	50047540	RIO SABANA AT VISTA MONTE, PR	ST	18.17245819	-66.14349988	S	NAD83	 1345			21010006	0.8
USGS	50047545	QUEBRADA PRIETA NR CIDRA, PR	ST	18.20190134	-66.11905530	S	NAD83	 410			21010005	0.45
USGS	50047560	RIO DE BAYAMON BLW LAGO DE CIDRA DAM, PR	ST	18.20079030	-66.13877770	S	NAD83	 1279.5			21010005	8.32
USGS	50047850	RIO DE BAYAMON NR BAYAMON, PR	ST	18.33228474	-66.13908910	S	NAD83	 98.0			21010005	41.8
USGS	50048565	QUEBRADA SANTA CATALINA NEAR GUAYNABO, PR	ST	18.40703140	-66.11808300	5	NAD83	 50.98			21010005	0.33
USGS	50048580	UNNAMED CREEK AT FORT BUCHANAN, GUAYNABO, PR	ST	18.42019180	-66.11605520	5	NAD83	 17.06			21010005	0.40
USGS	50048690	QUEBRADA LAS CURIAS BLW LAS CURIAS OUTFLOW, PR	ST	18.34300579	-66.05183240	S	NAD83	 260			21010005	1.13
USGS	50049000	RIO PIEDRAS AT RIO PIEDRAS, PR	ST	18.39467043	-66.05627690	S	NAD83	 164.1			21010005	12.5
USGS	50049100	RIO PIEDRAS AT HATO REY, PR	ST	18.40755330	-66.06894369	S	NAD83	 16.4			21010005	15.2
USGS	50049310	QUEBRADA JOSEFINA AT PINERO AVENUE, PR	ST	18.40717006	-66.07516600	S	NAD83	 22.9			21010005	3.77
USGS	50049620	QDA. MARGARITA AT CAPARRA INTER. NR GUAYNABO, PR	ST	18.41353110	-66.10297170	5	NAD83	 6.56			21010005	2.02
USGS	50050900	RIO GRANDE DE LOIZA AT QUEBRADA ARENAS, PR	ST	18.11801650	-65.98821947	S	NAD83	 640			21010005	6
USGS	50051150	QUEBRADA BLANCA AT EL JAGUAL, PR	ST	18.15912565	-65.98238610	S	NAD83	 426.5			21010005	3.25
USGS	50051180	QUEBRADA SALVATIERRA NR SAN LORENZO, PR	ST	18.17134727	-65.97683050	S	NAD83	 330			21010005	3.74
USGS	50051310	RIO CAYAGUAS AT CERRO GORDO, PR	ST	18.15187883	-65.95631330	5	NAD83	 524.92			21010005	10.1
USGS	50051800	RIO GRANDE DE LOIZA AT HWY 183 SAN LORENZO, PR	ST	18.18371890	-65.96105530	5	NAD83	 263.16			21010005	41.09
USGS	50053025	RIO TURABO ABV BORINQUEN, PR	ST	18.16023654	-66.03960940	S	NAD83	 492.13			21010005	7.16
USGS	50053050	RIO TURABO AT BORINQUEN, PR	ST	18.16745840	-66.04322060	S	NAD83	 430			21010005	7.89
USGS	50055000	RIO GRANDE DE LOIZA AT CAGUAS, PR	ST	18.24070482	-66.00919819	S	NAD83	 164.04			21010005	89.8
USGS	50055100	RIO CAGUITAS NR AGUAS BUENAS, PR	ST	18.24467709	-66.09322180	S	NAD83	 410.1			21010005	5.3
USGS	50055170	RIO CAGUITAS NR CAGUAS, PR	ST	18.23106634	-66.04766550	S	NAD83	 216.5			21010005	13.7
USGS	50055225	RIO CAGUITAS AT VILLA BLANCA AT CAGUAS, PR	ST	18.24671282	-66.02724300	5	NAD83	 164.04			21010005	16.6
USGS	50055380	RIO BAIROA ABV BAIROA, CAGUAS, PR	ST	18.25629848	-66.04390170	5	NAD83	 213			21010005	4.73
USGS	50055390	RIO BAIROA AT BAIROA, PR	ST	18.25689846	-66.03960990	S	NAD83	 180			21010005	5.08
USGS	50055650	QUEBRADA CAIMITO NR JUNCOS, PR	ST	18.23356714	-65.86960790	S	NAD83	 310			21010005	0.82
USGS	50055750	RIO GURABO BLW EL MANGO, PR	ST	18.23216426	-65.88493850	S	NAD83	 230.00			21010005	22.3
USGS	50056400	RIO VALENCIANO NR JUNCOS, PR	ST	18.21408426	-65.92577750	S	NAD83	 320			21010005	16.4
USGS	50056900	QUEBRADA MAMEY NR GURABO, PR	ST	18.24578813	-65.94544170	S	NAD83	 180			21010005	2.3
USGS	50057000	RIO GURABO AT GURABO, PR	ST	18.25649864	-65.96768370	S	NAD83	 150.0			21010005	60.2
USGS	50058350	RIO CANAS AT RIO CANAS, PR	ST	18.29250800	-66.04469890	S	NAD83	 150			21010005	7.53
USGS	50059050	RIO GRANDE DE LOIZA BLW LOIZA DAMSITE, PR	ST	18.34027530	-66.00558468	5	NAD83	 49.2			21010005	209
USGS	50059210	QUEBRADA GRANDE AT BO. DOS BOCAS, PR	ST	18.34844996	-65.99007067	5	NAD83	 66			21010005	12.9
USGS	50061000	RIO GRANDE DE LOIZA AT CAROLINA, PR	ST	18.37550438	-65.95183160	S	NAD83	 32.8			21010005	
USGS	50061800	RIO CANOVANAS NR CAMPO RICO, PR	ST	18.31648528	-65.88852228	S	NAD83	 225			21010005	10.2
USGS	50063440	QUEBRADA SONADORA NR EL VERDE, PR	ST	18.32124112	-65.81707720	S	NAD83	 1230			21010005	0.92
USGS	50063500	QUEBRADA TORONJA AT EL VERDE, PR	ST	18.32661860	-65.82016330	S	NAD83	 876			21010005	0.25
